id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
40,32,10,2,3,0,1337,0,0,3,26,5,368,6,-1,0,4,0
41,31,5,3,3,1,0,0,0,1,18,11,129,2,-1,0,4,0
42,29,5,2,4,0,54,0,0,1,28,1,873,3,-1,0,4,0
43,33,10,2,4,0,1126,1,0,3,6,9,11,1,490,5,2,0
44,31,10,3,3,0,691,1,0,1,8,5,198,1,-1,0,4,0
45,39,10,2,4,0,794,0,0,2,2,2,182,1,-1,0,4,0
46,23,2,3,3,0,-95,1,0,3,14,5,167,3,-1,0,4,0
47,51,10,1,3,0,107,0,0,3,19,6,593,1,-1,0,4,0
48,39,4,2,3,0,-146,1,1,1,20,8,239,2,-1,0,4,0
49,40,5,2,4,0,1041,1,0,3,12,6,73,1,-1,0,4,0
50,69,1,2,3,0,813,0,0,2,28,9,237,2,-1,0,4,0
51,32,1,1,3,0,2017,0,1,1,17,7,686,1,-1,0,4,0
52,30,2,2,2,0,236,1,0,1,13,5,44,1,364,1,1,0
53,56,11,1,4,0,0,1,0,1,30,7,1259,6,-1,0,4,0
54,32,5,3,4,0,2343,0,0,1,18,7,226,1,-1,0,4,0
55,49,8,2,2,0,1830,1,0,1,13,8,261,1,179,1,3,1
56,45,5,1,4,0,2813,1,0,1,13,5,43,1,-1,0,4,0
57,45,3,2,2,0,58,1,0,2,13,5,119,3,371,3,1,0
58,55,10,3,4,0,-703,1,0,1,8,5,123,3,-1,0,4,0
59,77,6,2,2,0,2590,0,0,2,15,2,112,5,94,15,3,0
60,30,5,2,4,0,0,0,0,1,21,8,142,2,-1,0,4,0
61,56,10,2,3,0,4073,0,0,1,27,8,239,5,-1,0,4,0
62,54,5,2,4,0,500,1,0,1,11,8,56,4,-1,0,4,0
63,32,10,3,3,0,5205,0,0,1,20,11,352,1,-1,0,4,0
64,43,2,1,2,0,49,1,0,3,9,5,100,1,-1,0,4,0
65,48,11,2,3,0,1811,1,0,2,31,7,135,3,-1,0,4,0
66,50,5,2,4,0,89,0,0,3,20,6,35,2,-1,0,4,0
67,50,1,3,3,0,642,0,0,1,18,11,435,1,-1,0,4,0
68,35,2,2,1,0,-205,1,0,3,23,5,147,14,-1,0,4,0
69,39,1,3,3,0,720,1,0,2,18,11,47,3,-1,0,4,0
70,36,8,3,3,0,755,0,0,3,18,6,355,1,-1,0,4,0
71,30,10,3,4,1,23,0,0,1,12,8,72,4,-1,0,4,0
72,43,1,3,3,0,-495,1,1,3,23,5,131,1,-1,0,4,0
73,37,8,1,3,0,532,1,0,3,11,6,199,1,-1,0,4,0
74,53,8,1,2,0,200,0,0,1,17,11,182,3,-1,0,4,0
75,45,12,2,1,0,19706,1,0,1,3,2,419,3,-1,0,4,0
76,30,2,3,3,0,397,1,0,3,28,5,536,7,-1,0,4,0
77,53,5,1,4,0,-187,1,0,1,31,7,27,2,-1,0,4,0
78,45,3,2,3,0,-479,1,0,1,30,7,167,2,-1,0,4,0
79,51,1,2,3,0,3025,0,0,1,7,5,476,1,352,1,2,1
80,35,2,3,2,0,-269,1,0,3,9,6,96,10,-1,0,4,0
81,53,8,2,1,0,2009,0,0,1,16,6,250,1,-1,0,4,0
82,33,2,2,3,0,-253,1,0,1,12,5,89,3,-1,0,4,0
83,49,5,3,3,0,-18,1,0,1,11,5,217,3,264,4,1,0
84,36,1,3,3,0,0,0,0,1,4,2,137,2,-1,0,4,0
85,41,12,3,4,0,1567,0,0,1,1,7,291,2,-1,0,4,0
86,36,1,3,1,0,-69,1,0,3,27,5,90,2,-1,0,4,0
87,34,5,2,4,0,1273,0,0,3,11,8,93,2,-1,0,4,0
88,37,6,2,3,0,-252,0,0,1,22,7,438,3,-1,0,4,0
89,47,6,1,3,0,0,0,0,3,19,6,141,1,-1,0,4,0
90,54,7,2,4,0,0,1,0,1,20,8,83,5,-1,0,4,0
91,46,2,3,3,0,2401,1,0,3,14,5,218,2,-1,0,4,0
92,36,5,2,4,0,9324,1,0,1,30,3,138,8,-1,0,4,0
93,47,1,2,3,0,1383,1,0,3,6,6,460,8,-1,0,4,0
94,34,7,3,4,0,1798,1,0,1,13,5,196,3,-1,0,4,0
95,38,5,2,4,0,385,1,0,2,28,10,154,1,-1,0,4,1
96,35,3,3,3,0,475,0,1,1,21,7,936,4,-1,0,4,0
97,38,2,1,3,0,593,1,0,1,17,4,182,2,-1,0,4,0
98,42,8,2,3,0,693,1,0,3,13,5,187,2,-1,0,4,0
99,29,5,3,4,0,2753,0,0,1,30,4,645,1,-1,0,4,1
100,56,5,3,3,0,237,1,0,2,9,7,236,4,-1,0,4,0
101,46,10,2,3,0,78,0,0,1,20,8,172,2,-1,0,4,0
102,34,1,2,4,0,0,1,1,1,3,8,108,2,180,7,1,0
103,56,2,1,2,0,8,1,0,3,5,5,157,2,-1,0,4,0
104,60,4,1,3,0,387,1,0,3,4,6,235,1,-1,0,4,0
105,25,5,2,4,0,127,1,0,1,18,5,695,2,-1,0,4,0
106,29,5,3,4,0,3041,1,0,1,8,5,606,3,-1,0,4,1
107,37,1,3,4,0,-898,1,0,3,21,5,482,1,-1,0,4,0
108,33,10,2,4,0,599,1,0,1,29,8,461,2,-1,0,4,0
109,35,10,2,4,0,358,0,0,1,29,8,92,9,-1,0,4,0
110,46,6,2,3,0,2396,0,0,1,8,5,307,1,-1,0,4,0
111,35,2,3,3,0,448,0,1,1,20,11,1031,6,-1,0,4,0
112,34,10,2,3,0,1137,0,0,1,29,1,383,2,206,1,2,0
113,31,3,2,4,0,-231,1,0,1,26,8,221,2,-1,0,4,0
114,39,10,3,4,0,54,1,0,1,3,4,204,2,248,12,1,0
115,32,11,3,2,1,0,0,0,1,21,11,149,1,-1,0,4,0
116,37,10,1,3,0,2610,1,0,1,13,5,53,1,-1,0,4,0
117,41,8,1,3,1,-198,0,1,3,14,5,133,1,-1,0,4,0
118,39,2,2,3,0,-66,0,1,2,24,7,626,5,-1,0,4,0
119,28,1,3,3,0,1238,1,0,3,28,5,252,2,-1,0,4,0
120,34,2,2,2,0,428,1,0,1,18,5,59,2,-1,0,4,0
121,34,4,2,2,0,2929,0,0,1,14,8,518,2,-1,0,4,1
122,32,8,3,3,0,335,1,1,3,4,7,99,1,-1,0,4,0
123,70,6,2,1,0,1236,0,0,1,12,3,58,4,-1,0,4,0
124,30,11,3,4,0,4082,0,0,2,14,6,215,1,459,17,2,0
125,52,10,2,3,0,1373,0,0,1,27,10,157,1,-1,0,4,0
126,51,10,2,3,0,564,0,1,1,8,7,187,2,-1,0,4,0
127,41,2,2,2,0,620,0,0,1,28,1,314,1,-1,0,4,0
128,39,2,2,2,0,176,1,1,1,3,4,189,2,-1,0,4,0
129,44,4,2,3,0,2541,0,0,1,27,8,138,3,-1,0,4,0
130,58,6,2,3,0,2609,0,0,1,12,8,136,5,-1,0,4,0
131,34,10,2,3,0,134,0,0,1,8,8,104,4,-1,0,4,0
132,38,10,2,3,0,740,0,0,1,7,8,259,3,-1,0,4,0
133,30,10,3,4,0,432,1,1,3,3,6,180,3,-1,0,4,0
134,48,2,2,2,0,1092,0,1,1,18,11,79,1,172,8,1,0
135,58,11,2,4,0,1798,1,0,1,5,2,19,8,-1,0,4,0
136,34,3,2,3,0,2,1,1,1,5,5,184,1,167,6,1,0
137,31,8,2,2,0,-212,0,1,1,20,11,911,4,-1,0,4,0
138,37,3,2,2,0,0,0,0,1,25,5,163,1,-1,0,4,0
139,57,6,1,2,0,698,0,0,2,1,6,53,2,-1,0,4,0
140,28,9,3,3,0,2351,0,0,2,22,10,157,1,-1,0,4,1
141,32,8,3,3,0,545,1,0,1,18,5,192,1,180,1,1,0
142,32,2,2,3,0,-667,1,0,1,18,5,152,7,349,1,2,0
143,39,5,3,4,0,2357,1,0,1,20,4,64,3,273,1,1,0
144,41,5,3,4,0,11008,0,0,3,18,6,1540,1,-1,0,4,1
145,47,8,2,3,0,612,0,0,1,26,8,139,4,-1,0,4,0
146,28,2,3,3,1,0,1,0,3,4,6,237,1,-1,0,4,0
147,26,1,3,3,0,0,1,0,1,13,5,204,3,-1,0,4,0
148,60,5,2,3,0,164,0,1,1,8,7,171,1,-1,0,4,0
149,49,4,2,2,0,0,1,0,1,25,7,42,3,-1,0,4,0
150,32,2,1,3,0,8,1,0,1,16,7,226,1,-1,0,4,0
151,25,2,3,3,0,0,1,0,1,13,5,44,9,-1,0,4,0
152,25,9,2,3,0,37,0,0,3,24,7,11,1,-1,0,4,0
153,57,11,1,3,0,2762,0,0,2,19,11,100,1,-1,0,4,0
154,50,5,2,4,0,15442,0,0,3,5,6,91,1,-1,0,4,0
155,39,5,2,2,0,1749,1,0,3,29,5,46,1,-1,0,4,0
156,34,5,2,4,0,1778,0,0,1,5,2,99,1,93,3,3,0
157,38,2,2,3,0,926,0,1,3,6,6,189,3,-1,0,4,0
158,30,8,3,3,0,572,1,0,1,5,5,237,1,319,4,2,0
159,28,5,3,4,0,145,1,0,1,20,4,277,1,-1,0,4,0
160,31,5,3,4,0,1308,0,0,1,22,8,323,3,-1,0,4,0
161,32,5,2,3,0,6217,1,1,3,21,5,486,2,-1,0,4,0
162,28,7,3,4,0,159,0,0,1,16,11,449,2,33,4,3,1
163,35,2,1,3,0,0,0,0,1,15,7,129,2,-1,0,4,0
164,48,2,2,3,0,863,1,0,2,4,5,412,5,350,2,3,1
165,30,10,3,3,0,-232,0,1,1,7,8,118,2,-1,0,4,0
166,46,5,2,3,0,5127,0,0,1,6,8,472,1,-1,0,4,0
167,40,2,2,3,0,4853,0,0,1,31,7,234,2,-1,0,4,0
168,37,2,2,2,0,-196,1,0,3,26,5,166,2,-1,0,4,0
169,54,7,2,4,0,542,0,0,2,6,2,48,5,-1,0,4,0
170,26,2,2,3,0,1702,1,1,1,18,5,21,1,-1,0,4,0
171,52,8,2,3,0,2257,1,0,3,14,5,203,1,-1,0,4,0
172,67,7,2,4,0,1979,0,0,1,10,9,105,2,-1,0,4,0
173,33,5,1,4,0,2240,0,0,1,3,6,198,1,-1,0,4,1
174,42,2,2,2,0,1687,1,0,1,18,5,14,3,178,3,2,0
175,56,1,2,3,0,5310,0,0,3,19,6,74,1,-1,0,4,0
176,35,5,2,4,0,0,1,0,1,16,4,563,1,-1,0,4,0
177,38,3,2,3,0,351,1,0,1,4,2,112,1,244,3,1,0
178,33,7,2,4,0,-103,1,0,3,28,5,268,1,-1,0,4,0
179,30,5,2,4,0,860,1,0,1,20,4,185,1,-1,0,4,0
180,35,5,3,4,0,2646,0,0,1,14,4,133,8,183,2,3,1
181,45,10,2,2,0,718,1,0,3,14,5,135,1,-1,0,4,0
182,28,2,3,3,0,0,1,0,1,8,5,191,3,-1,0,4,0
183,58,1,2,1,0,5763,0,0,1,20,11,52,1,-1,0,4,0
184,58,10,2,3,0,0,1,0,1,15,7,53,1,-1,0,4,0
185,27,9,3,3,0,217,1,0,3,8,5,319,1,-1,0,4,0
186,39,2,2,3,0,1508,0,0,1,23,7,281,1,-1,0,4,0
187,40,1,3,3,0,100,1,0,1,11,8,221,1,461,1,3,1
188,37,10,2,3,0,1610,0,0,3,16,6,140,2,-1,0,4,0
189,58,4,2,2,0,260,1,0,2,15,5,71,5,364,3,1,0
190,60,6,3,3,0,1625,0,0,3,12,6,119,1,-1,0,4,0
191,48,1,2,2,0,3,1,0,1,3,2,69,1,252,4,1,0
192,45,8,2,3,0,-3,1,0,3,13,5,213,1,-1,0,4,0
193,38,1,2,2,0,3,1,1,3,5,6,124,2,-1,0,4,0
194,29,5,3,4,0,573,1,1,3,16,6,190,4,-1,0,4,0
195,39,10,2,3,0,504,1,0,3,12,5,495,1,-1,0,4,0
196,43,2,2,1,0,1123,1,0,1,16,4,191,2,322,3,1,0
197,33,10,2,4,0,980,0,0,1,12,8,172,2,-1,0,4,0
198,32,10,3,3,0,0,0,0,1,20,8,92,4,-1,0,4,0
199,62,11,2,3,0,1625,0,0,2,23,4,155,1,-1,0,4,0
200,49,10,1,3,0,-39,1,1,1,24,7,147,3,-1,0,4,0
201,41,1,1,3,0,-365,1,0,3,28,5,226,10,-1,0,4,0
202,56,5,2,4,0,1282,0,0,1,19,8,323,4,-1,0,4,0
203,39,10,3,4,0,610,0,0,3,20,6,241,2,-1,0,4,0
204,50,5,2,4,0,2479,0,0,1,17,11,259,1,-1,0,4,0
205,47,11,2,3,0,955,1,0,3,13,5,47,1,-1,0,4,0
206,48,2,2,3,0,1791,0,0,1,7,8,63,2,-1,0,4,0
207,42,1,3,3,0,1601,0,0,3,20,6,23,2,-1,0,4,0
208,59,5,3,4,0,705,0,0,1,3,2,537,4,-1,0,4,0
209,45,11,2,3,0,2040,0,0,2,2,2,803,1,-1,0,4,1
210,46,10,1,4,0,288,1,0,3,9,5,166,1,-1,0,4,0
211,36,7,3,2,0,235,1,0,3,29,5,141,9,-1,0,4,0
212,53,2,2,3,0,21522,0,0,3,24,6,146,4,-1,0,4,0
213,49,2,2,2,0,0,1,0,3,6,6,286,2,-1,0,4,0
214,33,5,3,3,0,20600,0,0,1,20,11,125,1,-1,0,4,0
215,27,5,3,4,0,522,0,0,1,15,6,79,1,-1,0,4,0
216,34,2,2,3,0,1454,1,0,1,11,2,231,2,297,2,1,1
217,55,2,2,3,0,0,0,0,3,16,6,73,3,-1,0,4,0
218,34,4,2,4,0,1265,1,0,3,6,6,397,3,-1,0,4,0
219,30,7,3,4,0,655,0,0,1,23,9,272,4,184,1,3,1
220,30,8,3,4,0,1788,0,0,1,4,8,288,1,181,2,1,1
221,57,6,2,3,0,703,1,0,3,15,5,405,2,-1,0,4,0
222,37,5,2,4,0,887,0,0,1,13,8,257,5,-1,0,4,0
223,49,4,2,2,0,0,0,0,2,9,7,106,1,-1,0,4,0
224,42,2,2,3,0,3396,1,1,2,20,11,93,4,-1,0,4,0
225,43,5,2,4,0,68,1,0,1,17,11,31,2,-1,0,4,0
226,40,5,1,4,0,502,1,0,1,3,2,267,4,270,3,2,0
227,60,10,2,3,0,955,0,0,1,18,8,37,3,-1,0,4,0
228,70,6,2,3,0,2064,0,0,1,22,10,334,1,-1,0,4,0
229,42,1,1,3,0,-249,1,0,1,14,7,149,3,-1,0,4,0
230,27,1,2,3,0,102,1,0,1,29,1,123,2,-1,0,4,0
231,39,8,2,3,0,173,1,0,1,18,11,96,2,182,2,1,0
232,43,5,2,4,0,254,1,1,1,15,7,104,3,-1,0,4,0
233,53,10,2,3,0,31,1,0,3,16,5,90,2,-1,0,4,0
234,37,2,1,3,0,277,0,1,1,8,7,338,2,-1,0,4,0
235,57,8,2,3,0,504,0,0,1,8,8,177,2,-1,0,4,0
236,43,6,3,2,0,140,0,1,2,9,7,52,1,-1,0,4,0
237,43,10,2,3,0,-705,1,0,1,27,8,125,6,-1,0,4,0
238,49,2,2,2,0,418,0,0,1,18,8,1559,7,-1,0,4,0
239,31,1,3,3,0,430,1,0,1,15,4,103,2,-1,0,4,0
240,28,9,3,3,0,0,0,0,1,18,2,209,20,-1,0,4,1
241,29,9,3,3,0,658,0,0,1,15,7,198,2,244,4,2,1
242,36,5,2,4,0,269,1,0,1,11,5,155,2,-1,0,4,0
243,35,10,2,4,0,22,0,0,1,11,8,109,1,-1,0,4,0
244,37,5,2,4,0,21,1,0,3,29,5,52,2,-1,0,4,0
245,27,8,3,3,0,1820,1,0,1,17,7,1027,1,-1,0,4,1
246,30,10,2,3,0,-189,0,0,1,19,8,105,2,-1,0,4,0
247,29,5,3,4,0,144,1,0,3,2,6,105,3,-1,0,4,0
248,49,5,2,3,0,99,1,0,1,6,5,687,2,343,1,1,1
249,47,10,3,1,0,77,1,0,3,9,5,83,4,-1,0,4,0
250,41,5,3,4,0,8368,0,0,3,11,6,179,1,-1,0,4,0
251,48,5,2,1,0,54,1,0,3,16,5,293,7,-1,0,4,0
252,51,4,2,2,0,382,0,1,1,15,7,56,3,-1,0,4,0
253,60,11,1,3,0,385,1,0,1,4,2,80,1,-1,0,4,0
254,57,2,1,2,0,5041,1,0,1,16,4,284,1,336,1,1,0
255,28,2,3,2,0,0,1,1,3,3,6,380,4,-1,0,4,0
256,61,6,2,4,0,32685,0,0,1,2,3,1447,2,-1,0,4,1
257,36,7,2,2,0,1094,1,0,1,8,4,291,1,335,1,1,0
258,22,9,3,3,0,254,0,0,1,13,1,143,2,-1,0,4,1
259,35,10,2,3,1,-1322,1,0,1,30,7,105,11,-1,0,4,0
260,34,2,3,3,0,1759,0,1,1,25,7,695,1,-1,0,4,1
261,48,10,2,4,0,658,1,0,1,17,7,89,1,-1,0,4,0
262,33,10,3,4,0,8097,0,1,1,21,8,500,2,-1,0,4,0
263,31,5,3,4,0,385,1,0,3,21,5,304,1,-1,0,4,0
264,26,5,3,4,0,2692,0,0,3,28,5,159,2,-1,0,4,0
265,36,2,2,3,0,139,1,0,3,6,5,309,2,-1,0,4,0
266,39,2,2,3,0,1045,1,1,1,9,7,290,13,-1,0,4,0
267,40,8,3,3,0,4126,0,0,1,4,2,671,2,-1,0,4,0
268,32,5,2,4,0,0,0,0,1,28,8,74,2,-1,0,4,0
269,45,2,2,1,0,550,0,1,3,20,6,97,1,-1,0,4,0
270,40,5,2,4,0,1217,1,1,1,18,11,155,1,-1,0,4,0
271,51,1,1,3,0,-20,0,0,3,1,7,58,1,-1,0,4,0
272,44,3,2,4,0,3463,1,1,1,28,8,210,3,-1,0,4,0
273,34,10,3,4,0,-554,1,1,1,31,7,68,3,-1,0,4,0
274,45,8,2,3,0,-1621,1,1,1,15,5,8,2,346,5,1,0
275,40,10,2,3,0,1232,0,0,1,28,8,175,11,-1,0,4,0
276,51,5,2,4,0,307,1,0,3,30,5,206,2,-1,0,4,0
277,57,5,2,3,0,7162,0,0,1,17,11,83,1,-1,0,4,0
278,30,2,3,3,0,4,0,0,1,15,4,692,1,-1,0,4,0
279,54,7,2,3,0,641,1,0,1,20,11,399,2,-1,0,4,0
280,28,1,2,3,0,0,1,1,1,26,5,89,1,-1,0,4,0
281,49,4,2,2,0,3376,0,0,3,9,6,119,3,-1,0,4,0
282,39,10,2,3,0,3494,1,0,1,19,11,139,1,92,4,1,0
283,53,10,2,3,0,56,1,1,3,5,5,152,2,-1,0,4,0
284,35,7,2,4,0,1178,1,1,1,15,4,220,2,183,5,1,0
285,36,10,2,4,0,4596,1,0,1,16,4,901,2,-1,0,4,1
286,40,1,3,3,0,5061,0,1,1,3,2,63,2,-1,0,4,0
287,40,2,2,2,0,669,1,0,3,26,5,161,3,-1,0,4,0
288,32,10,3,3,0,284,0,0,1,29,8,161,2,-1,0,4,0
289,35,2,2,1,0,245,1,0,1,11,5,134,2,370,1,1,0
290,35,2,1,2,0,-5,0,0,3,6,6,48,5,-1,0,4,0
291,31,8,3,3,0,1599,0,0,1,30,4,226,1,78,2,3,0
292,44,5,2,4,0,5282,1,0,3,30,5,274,1,-1,0,4,0
293,34,10,3,3,0,951,1,0,3,21,5,343,1,-1,0,4,0
294,49,5,2,4,0,-969,0,0,1,30,1,61,2,2,1,2,0
295,73,6,2,1,0,3443,0,0,2,4,9,770,3,-1,0,4,1
296,38,11,2,2,0,113,1,0,3,16,5,27,2,-1,0,4,0
297,56,4,1,3,0,0,0,0,3,15,5,103,1,-1,0,4,0
298,27,1,3,4,0,4738,0,0,1,13,7,752,1,-1,0,4,0
299,48,2,2,2,0,0,0,1,1,17,11,479,1,-1,0,4,0
300,36,11,1,3,0,1366,0,1,1,2,2,131,1,-1,0,4,0
301,36,2,2,3,0,0,1,0,1,30,7,184,6,-1,0,4,0
302,60,5,2,4,0,371,0,1,1,11,8,102,8,-1,0,4,0
303,40,2,2,3,0,876,0,0,3,16,6,208,1,-1,0,4,0
304,57,10,1,3,0,204,0,0,3,6,6,97,5,-1,0,4,0
305,44,5,1,4,0,2058,0,1,1,21,11,661,1,-1,0,4,0
306,50,1,2,3,0,736,1,0,3,14,5,74,1,-1,0,4,0
307,32,5,2,4,0,607,1,0,3,18,6,1060,5,-1,0,4,1
308,44,10,2,3,0,227,1,1,1,8,5,364,1,262,2,1,0
309,43,2,2,3,0,408,1,0,3,14,9,6,1,838,3,2,0
310,33,10,3,3,0,422,0,0,1,21,8,289,2,-1,0,4,0
311,43,5,2,4,0,2987,0,0,1,11,3,103,3,-1,0,4,0
312,24,1,3,3,0,99,0,0,1,4,2,56,3,-1,0,4,0
313,36,5,3,4,0,1339,1,0,1,11,7,136,1,-1,0,4,0
314,49,8,2,3,0,400,0,0,1,21,8,151,3,-1,0,4,0
315,34,5,1,4,0,2885,0,0,1,10,2,314,2,156,4,2,1
316,37,10,2,3,0,277,1,0,3,9,5,251,2,-1,0,4,0
317,30,1,1,2,0,1032,1,0,3,29,5,52,5,-1,0,4,0
318,58,5,2,4,0,4265,1,0,3,29,5,96,2,-1,0,4,0
319,45,1,1,4,0,569,1,0,1,14,5,228,1,-1,0,4,0
320,38,2,2,2,0,3242,1,0,1,17,4,198,5,331,1,1,0
321,29,10,3,3,0,22008,1,0,3,28,5,139,2,-1,0,4,0
322,36,2,2,3,0,-100,1,0,3,3,6,369,2,-1,0,4,0
323,29,2,2,3,0,940,1,1,1,15,5,382,1,-1,0,4,1
324,25,9,3,3,0,1957,0,0,1,24,6,1207,4,385,1,1,1
325,49,2,2,2,0,216,1,0,3,9,5,144,2,-1,0,4,0
326,33,1,3,3,0,13,1,0,1,29,1,111,1,247,2,1,0
327,51,2,2,2,0,-637,1,1,1,19,11,233,2,-1,0,4,0
328,35,2,2,2,0,356,1,1,3,20,5,474,2,-1,0,4,0
329,52,2,2,3,0,698,0,0,2,30,7,38,2,-1,0,4,0
330,42,10,2,3,0,419,0,0,1,6,2,198,2,-1,0,4,0
331,29,2,3,3,0,2806,0,0,1,15,10,294,1,93,5,2,0
332,43,7,2,3,0,284,0,0,1,28,1,256,1,-1,0,4,0
333,41,4,2,3,0,0,1,1,1,15,7,368,4,-1,0,4,0
334,47,1,2,3,0,642,1,0,1,13,5,197,2,363,2,2,0
335,44,10,3,3,0,244,1,0,1,12,8,1735,4,-1,0,4,1
336,37,8,2,3,0,523,1,0,2,19,11,21,1,-1,0,4,0
337,50,8,3,3,0,321,0,0,2,22,8,90,11,-1,0,4,0
338,42,10,1,3,0,-593,0,0,1,28,1,69,1,-1,0,4,0
339,26,11,2,2,0,70,1,0,3,28,5,99,2,-1,0,4,0
340,39,7,2,3,0,81,0,1,1,23,7,438,1,-1,0,4,0
341,56,4,2,2,0,2666,1,1,1,29,1,94,2,-1,0,4,0
342,22,9,3,2,0,110,1,0,1,18,5,237,2,-1,0,4,0
343,33,2,3,3,0,371,1,0,3,16,5,1128,3,-1,0,4,0
344,30,8,3,3,0,1824,1,0,1,21,7,153,2,-1,0,4,0
345,49,2,2,2,0,3659,1,0,3,7,5,160,1,-1,0,4,0
346,51,2,2,2,0,-27,0,0,2,29,8,158,4,-1,0,4,0
347,32,5,3,4,0,12686,1,0,1,20,11,176,1,170,1,1,0
348,25,8,3,4,0,12,0,0,1,12,6,126,6,-1,0,4,1
349,33,8,1,3,0,2411,1,0,1,23,10,130,1,161,1,1,1
350,45,8,2,2,0,7811,0,0,3,16,6,143,2,-1,0,4,0
351,29,8,3,3,0,229,1,0,1,17,4,273,2,343,1,1,0
352,28,5,3,4,0,730,1,0,1,26,8,78,6,85,5,2,0
353,29,2,2,3,0,602,1,1,1,17,4,440,2,-1,0,4,0
354,29,3,2,2,0,519,1,0,1,18,7,120,1,-1,0,4,0
355,36,2,1,2,0,3202,1,0,1,20,11,690,3,183,2,1,0
356,25,8,3,3,0,54,1,0,3,13,5,318,2,-1,0,4,0
357,31,1,2,3,0,389,1,0,1,7,12,69,1,185,2,1,0
358,29,5,3,3,0,417,0,0,1,7,10,90,1,-1,0,4,0
359,29,5,3,4,0,2799,1,0,1,5,5,371,2,-1,0,4,0
360,51,2,1,2,0,1236,1,0,1,10,7,613,1,-1,0,4,0
361,35,5,2,4,0,71,0,1,1,26,8,78,4,-1,0,4,0
362,32,5,3,4,0,27,1,0,1,18,11,261,1,-1,0,4,0
363,37,10,3,3,0,29,0,0,3,3,7,269,2,-1,0,4,0
364,45,2,2,3,0,1583,1,0,1,7,8,84,7,-1,0,4,0
365,46,2,2,2,0,1844,0,0,3,19,6,29,1,-1,0,4,0
366,64,6,1,2,0,109,0,0,1,23,6,706,1,225,2,3,1
367,60,2,2,2,0,109,0,0,3,27,6,349,5,-1,0,4,0
368,48,8,3,2,0,-139,0,0,1,13,5,75,2,-1,0,4,0
369,28,2,3,1,0,448,1,0,3,28,5,307,1,-1,0,4,0
370,30,10,3,3,0,1534,1,0,3,27,5,596,1,-1,0,4,0
371,39,5,1,4,0,2193,1,1,3,2,6,550,3,-1,0,4,0
372,51,1,3,3,0,1994,0,0,3,18,6,771,2,-1,0,4,1
373,50,3,1,4,0,1790,0,1,1,6,2,748,3,-1,0,4,0
